,Unnamed: 0,0-25%,25-50%,50-75%,75-100%,major_class
1581,pozo_7_img_52.png,Granulo o mayor,Granulo o mayor,Granulo o mayor,Granulo o mayor,Granulo o mayor
1822,pozo_7_img_293.png,Limo,Limo,Limo,Limo,Limo
1824,pozo_7_img_295.png,Limo,Limo,no,no,Limo
1838,pozo_7_img_309.png,Limo,Limo,Limo,Limo,Limo
1841,pozo_7_img_312.png,Limo,Limo,Limo,Limo,Limo
1851,pozo_7_img_322.png,Limo,Limo,Limo,Limo,Limo
1857,pozo_7_img_328.png,Limo,Muy fino,Limo,Limo,Limo
1858,pozo_7_img_329.png,Limo,Limo,Limo,Limo,Limo
1866,pozo_7_img_337.png,Limo,Limo,Limo,Limo,Limo
1867,pozo_7_img_338.png,Limo,Limo,Limo,Limo,Limo
1869,pozo_7_img_340.png,Limo,Limo,Limo,Limo,Limo
1871,pozo_7_img_342.png,Limo,Limo,Fino,Limo,Limo
1873,pozo_7_img_344.png,Fino,Fino,Limo,Limo,Limo
1875,pozo_7_img_346.png,Limo,Limo,Limo,Limo,Limo
1878,pozo_7_img_349.png,Limo,Limo,Limo,Limo,Limo
1880,pozo_7_img_351.png,Muy fino,Muy fino,Muy fino,Limo,Muy fino
1881,pozo_7_img_352.png,Limo,Limo,Limo,Muy fino,Limo
1882,pozo_7_img_353.png,Muy fino,Limo,Limo,Limo,Limo
1883,pozo_7_img_354.png,Muy fino,Muy fino,Muy fino,Muy fino,Muy fino
1884,pozo_7_img_355.png,Muy fino,Muy fino,Muy fino,Muy fino,Muy fino
1885,pozo_7_img_356.png,Muy fino,Muy fino,Muy fino,Muy fino,Muy fino
1886,pozo_7_img_357.png,Muy fino,Muy fino,Muy fino,Muy fino,Muy fino
1887,pozo_7_img_358.png,Muy fino,Muy fino,Muy fino,Fino,Muy fino
1889,pozo_7_img_360.png,Muy fino,Muy fino,Limo,Muy fino,Muy fino
1892,pozo_7_img_363.png,Fino,Fino,Fino,Fino,Fino
1893,pozo_7_img_364.png,Limo,Limo,Limo,Limo,Limo
1894,pozo_7_img_365.png,Fino,Limo,Limo,Fino,Limo
1895,pozo_7_img_366.png,Limo,Limo,Limo,Limo,Limo
1896,pozo_7_img_367.png,Muy fino,Limo,Limo,Limo,Limo
1897,pozo_7_img_368.png,Muy fino,Muy fino,Muy fino,Limo,Muy fino
1900,pozo_7_img_371.png,Medio,Limo,Medio,Limo,Limo
1901,pozo_7_img_372.png,Limo,Limo,Limo,Limo,Limo
1902,pozo_7_img_373.png,Medio,Limo,Limo,Medio,Limo
1906,pozo_7_img_377.png,Limo,Limo,Limo,Limo,Limo
1908,pozo_7_img_379.png,Muy fino,Muy fino,Muy fino,Muy fino,Muy fino
1909,pozo_7_img_380.png,Muy fino,Muy fino,Muy fino,Muy fino,Muy fino
1910,pozo_7_img_381.png,Muy fino,Muy fino,Muy fino,Muy fino,Muy fino
1911,pozo_7_img_382.png,Muy fino,Muy fino,Muy fino,Muy fino,Muy fino
1915,pozo_7_img_386.png,Fino,Fino,Fino,Fino,Fino
1916,pozo_7_img_387.png,Fino,Fino,Fino,Fino,Fino
1917,pozo_7_img_388.png,Fino,Fino,Fino,Fino,Fino
1918,pozo_7_img_389.png,Fino,Fino,Fino,Fino,Fino
1919,pozo_7_img_390.png,Muy fino,Limo,Limo,Fino,Limo
1923,pozo_7_img_394.png,Fino,Fino,Limo,Fino,Fino
1924,pozo_7_img_395.png,Muy fino,Muy fino,Limo,Limo,Limo
1925,pozo_7_img_396.png,Muy fino,Muy fino,Muy fino,Limo,Muy fino
1926,pozo_7_img_397.png,Limo,Limo,Limo,Limo,Limo
1927,pozo_7_img_398.png,Muy fino,Muy fino,Muy fino,Muy fino,Muy fino
1928,pozo_7_img_399.png,Muy fino,Muy fino,Limo,Limo,Limo
1940,pozo_7_img_411.png,Fino,Fino,Fino,Fino,Fino
1941,pozo_7_img_412.png,Fino,Fino,Fino,Fino,Fino
1944,pozo_7_img_415.png,Granulo o mayor,Granulo o mayor,Granulo o mayor,Granulo o mayor,Granulo o mayor
1951,pozo_7_img_422.png,Grueso,Muy fino,Muy fino,Fino,Muy fino
1956,pozo_7_img_427.png,Fino,Fino,Fino,Fino,Fino
1957,pozo_7_img_428.png,Fino,Fino,Fino,Fino,Fino
1958,pozo_7_img_429.png,Fino,Fino,Fino,Fino,Fino
1959,pozo_7_img_430.png,Fino,Fino,Fino,Fino,Fino
1960,pozo_7_img_431.png,Fino,Fino,Fino,Fino,Fino
1961,pozo_7_img_432.png,Fino,Fino,Fino,Fino,Fino
1962,pozo_7_img_433.png,Fino,Fino,Fino,Fino,Fino
1963,pozo_7_img_434.png,Fino,Fino,Fino,Fino,Fino
1964,pozo_7_img_435.png,Fino,Fino,Fino,Fino,Fino
1966,pozo_7_img_437.png,Fino,Fino,Fino,Fino,Fino
1967,pozo_7_img_438.png,Fino,Fino,Fino,Fino,Fino
1968,pozo_7_img_439.png,Fino,Fino,Fino,no,Fino
1971,pozo_7_img_442.png,Fino,Fino,Fino,Fino,Fino
1972,pozo_7_img_443.png,Fino,Fino,Fino,Fino,Fino
1975,pozo_7_img_446.png,Fino,Fino,Fino,Fino,Fino
1978,pozo_7_img_449.png,Fino,Fino,Fino,Fino,Fino
1979,pozo_7_img_450.png,Fino,Fino,Fino,Fino,Fino
1980,pozo_7_img_451.png,Fino,Fino,Fino,Fino,Fino
1981,pozo_7_img_452.png,Fino,Fino,Fino,Fino,Fino
1982,pozo_7_img_453.png,Fino,Fino,Fino,Fino,Fino
1992,pozo_7_img_463.png,Fino,Fino,Fino,Fino,Fino
1993,pozo_7_img_464.png,Fino,Fino,Fino,Fino,Fino
1994,pozo_7_img_465.png,Fino,Fino,Fino,Fino,Fino
2025,pozo_7_img_496.png,Fino,Fino,Fino,Fino,Fino
2026,pozo_7_img_497.png,Fino,Fino,Fino,Fino,Fino
2027,pozo_7_img_498.png,Fino,Fino,Fino,Fino,Fino
2032,pozo_7_img_503.png,Fino,Fino,Fino,Fino,Fino
2035,pozo_7_img_506.png,Fino,Fino,Fino,Fino,Fino
2037,pozo_7_img_508.png,Fino,Fino,Fino,Fino,Fino
2038,pozo_7_img_509.png,Fino,Fino,Fino,Fino,Fino
2045,pozo_8_img_1.png,Limo,Limo,Limo,Limo,Limo
2046,pozo_8_img_2.png,Limo,Limo,Limo,Limo,Limo
2047,pozo_8_img_3.png,Muy fino,Muy fino,Muy fino,Muy fino,Muy fino
2048,pozo_8_img_4.png,Muy fino,Muy fino,Muy fino,Muy fino,Muy fino
2049,pozo_8_img_5.png,Limo,Limo,Limo,Muy fino,Limo
2050,pozo_8_img_6.png,Muy fino,Muy fino,Muy fino,Muy fino,Muy fino
2051,pozo_8_img_7.png,Limo,Limo,Limo,Limo,Limo
2052,pozo_8_img_8.png,Limo,Limo,Muy fino,Muy fino,Limo
2053,pozo_8_img_9.png,Muy fino,Muy fino,Muy fino,Muy fino,Muy fino
2054,pozo_8_img_10.png,Muy fino,Muy fino,Muy fino,Muy fino,Muy fino
