,Unnamed: 0,0-25%,25-50%,50-75%,75-100%,major_class
405,pozo_2_img_136.png,Muy grueso,Muy grueso,Muy grueso,Muy grueso,Muy grueso
406,pozo_2_img_140.png,Muy grueso,Muy grueso,Muy grueso,Muy grueso,Muy grueso
407,pozo_2_img_141.png,Muy grueso,Muy grueso,Muy grueso,Muy grueso,Muy grueso
558,pozo_3_img_106.png,Muy grueso,Grueso,Grueso,Muy grueso,Muy grueso
559,pozo_3_img_108.png,Muy grueso,Muy grueso,Muy grueso,Grueso,Muy grueso
682,pozo_3_img_281.png,Medio,Medio,Granulo o mayor,Granulo o mayor,Granulo o mayor
703,pozo_3_img_107.png,Muy grueso,Muy grueso,Muy grueso,Muy grueso,Muy grueso
704,pozo_3_img_94.png,Muy grueso,Muy grueso,Granulo o mayor,Granulo o mayor,Granulo o mayor
705,pozo_3_img_95.png,Muy grueso,Muy grueso,Muy grueso,Granulo o mayor,Muy grueso
716,pozo_4_img_26.png,Granulo o mayor,Granulo o mayor,Granulo o mayor,Granulo o mayor,Granulo o mayor
717,pozo_4_img_27.png,Granulo o mayor,Granulo o mayor,Granulo o mayor,Granulo o mayor,Granulo o mayor
737,pozo_4_img_25.png,Grueso,Granulo o mayor,Granulo o mayor,Granulo o mayor,Granulo o mayor
821,pozo_4_img_42.png,Granulo o mayor,Granulo o mayor,Grueso,Grueso,Granulo o mayor
827,pozo_4_img_47.png,Muy grueso,Muy grueso,Muy grueso,Muy grueso,Muy grueso
828,pozo_4_img_48.png,Muy grueso,Muy grueso,Muy grueso,Muy grueso,Muy grueso
829,pozo_5_img_12.png,Arcilla,Arcilla,Grueso,Grueso,Arcilla
851,pozo_5_img_207.png,Fino,Fino,Fino,Fino,Fino
852,pozo_5_img_208.png,Fino,Fino,Fino,Fino,Fino
853,pozo_5_img_209.png,Fino,Fino,Fino,Fino,Fino
854,pozo_5_img_210.png,Fino,Fino,Fino,Fino,Fino
855,pozo_5_img_229.png,Fino,Fino,Fino,Fino,Fino
856,pozo_5_img_262.png,Fino,Fino,Fino,Fino,Fino
857,pozo_5_img_263.png,Fino,Fino,Fino,Fino,Fino
858,pozo_5_img_264.png,Fino,Fino,Fino,Fino,Fino
859,pozo_5_img_270.png,Fino,Fino,Fino,Fino,Fino
860,pozo_5_img_272.png,Fino,Fino,Fino,Fino,Fino
861,pozo_5_img_273.png,Fino,Fino,Fino,Fino,Fino
862,pozo_5_img_274.png,Fino,Fino,Fino,Fino,Fino
863,pozo_5_img_278.png,Fino,Fino,Fino,Fino,Fino
864,pozo_5_img_314.png,Fino,Fino,Fino,Fino,Fino
865,pozo_5_img_315.png,Fino,Fino,Fino,Fino,Fino
866,pozo_5_img_316.png,Fino,Fino,Fino,Fino,Fino
870,pozo_5_img_313.png,Muy grueso,Muy grueso,Fino,Fino,Muy grueso
912,pozo_5_img_165.png,Grueso,Grueso,Grueso,Grueso,Grueso
913,pozo_5_img_197.png,Grueso,Grueso,Grueso,Grueso,Grueso
914,pozo_5_img_201.png,Grueso,Grueso,Grueso,Grueso,Grueso
915,pozo_5_img_202.png,Grueso,Grueso,Grueso,Grueso,Grueso
916,pozo_5_img_203.png,Grueso,Grueso,Grueso,Grueso,Grueso
917,pozo_5_img_227.png,Grueso,Grueso,Grueso,Grueso,Grueso
918,pozo_5_img_236.png,Grueso,Grueso,Grueso,Grueso,Grueso
919,pozo_5_img_237.png,Grueso,Grueso,Grueso,Grueso,Grueso
920,pozo_5_img_238.png,Grueso,Grueso,Grueso,Grueso,Grueso
921,pozo_5_img_239.png,Grueso,Grueso,Grueso,Grueso,Grueso
922,pozo_5_img_240.png,Grueso,Grueso,Grueso,Grueso,Grueso
923,pozo_5_img_241.png,Grueso,Grueso,Grueso,Grueso,Grueso
924,pozo_5_img_242.png,Grueso,Grueso,Grueso,Grueso,Grueso
925,pozo_5_img_243.png,Grueso,Grueso,Grueso,Grueso,Grueso
926,pozo_5_img_244.png,Grueso,Grueso,Grueso,Grueso,Grueso
