NOMBRE,0-25%,25-50%,50-75%,75-100%
pozo_1_img_123.tif,Fino,Arcilla,Fino,Fino
pozo_1_img_124.tif,Fino,Fino,Arcilla,Fino
pozo_1_img_125.tif,Fino,Grueso,Grueso,Grueso
pozo_1_img_135.tif,Grueso,Grueso,Arcilla,Arcilla
pozo_1_img_136.tif,Arcilla,Arcilla,Arcilla,Muy fino
pozo_1_img_1.tif,Fino,Fino,Fino,Fino
pozo_1_img_4.tif,Fino,Fino,Fino,Fino
pozo_1_img_5.tif,Fino,Fino,Fino,Fino
pozo_1_img_6.tif,Fino,Fino,Fino,Fino
pozo_1_img_7.tif,Fino,Fino,Fino,Fino
pozo_1_img_8.tif,Fino,Fino,Fino,Fino
pozo_1_img_9.tif,Fino,Fino,Fino,Fino
pozo_1_img_10.tif,Fino,Fino,Fino,Fino
pozo_1_img_11.tif,Fino,Fino,Fino,Fino
pozo_1_img_12.tif,Fino,Fino,Fino,Fino
pozo_1_img_13.tif,Fino,Fino,Fino,Fino
pozo_1_img_14.tif,Fino,Fino,Fino,Fino
pozo_1_img_65.tif,Fino,Fino,Fino,Fino
pozo_1_img_119.tif,Fino,Fino,Fino,Fino
pozo_1_img_120.tif,Fino,Fino,Fino,Fino
pozo_1_img_121.tif,Fino,Fino,Fino,Fino
pozo_1_img_122.tif,Fino,Fino,Fino,Fino
pozo_1_img_145.tif,Fino,Fino,Fino,Fino
pozo_1_img_153.tif,Fino,Fino,Fino,Fino
pozo_1_img_154.tif,Fino,Fino,Fino,Fino
pozo_1_img_155.tif,Fino,Fino,Fino,Fino
pozo_1_img_178.tif,Fino,Fino,Fino,Fino
pozo_1_img_180.tif,Fino,Fino,Fino,Fino
pozo_1_img_33.tif,Granulo o mayor,Granulo o mayor,Granulo o mayor,Fino
pozo_1_img_141.tif,Fino,Fino,Medio,Medio
pozo_1_img_156.tif,Medio,Fino,Fino,Fino
pozo_1_img_157.tif,Medio,Fino,Medio,Fino
pozo_1_img_143.tif,Fino,Muy fino,Medio,Medio
pozo_1_img_29.tif,Grueso,Grueso,Grueso,Grueso
pozo_1_img_34.tif,Grueso,Grueso,Grueso,Grueso
pozo_1_img_66.tif,Grueso,Grueso,Grueso,Grueso
pozo_1_img_67.tif,Grueso,Grueso,Grueso,Grueso
pozo_1_img_68.tif,Grueso,Grueso,Grueso,Grueso
pozo_1_img_69.tif,Grueso,Grueso,Grueso,Grueso
pozo_1_img_76.tif,Grueso,Grueso,Grueso,Grueso
pozo_1_img_77.tif,Grueso,Grueso,Grueso,Grueso
pozo_1_img_86.tif,Grueso,Grueso,Grueso,Grueso
pozo_1_img_87.tif,Grueso,Grueso,Grueso,Grueso
pozo_1_img_88.tif,Grueso,Grueso,Grueso,Grueso
pozo_1_img_91.tif,Grueso,Grueso,Grueso,Grueso
pozo_1_img_101.tif,Grueso,Grueso,Grueso,Grueso
